LONGITUDE,LATITUDE,TIME,STATUS,DRY_YIELD,DAYOFMONTH,HOUR,MINUTE,SECOND,SPEED,TIMELAPSE,TORQUE,ENG_SPD,CURVE,FUEL,FUEL_KG/HR,GRD_SPD,MPH
-89.157283,40.282346,969108703,0,12.1884,16,13,51,43,3.47,1,41,2353,1,44,19.957,5.3,3.29
-89.157264,40.282351,969108702,0,9.0976,16,13,51,42,4.38,1,47,2358,1,50,22.7266,6.7,4.16
-89.157242,40.282354,969108701,0,9.6447,16,13,51,41,4.89,1,53,2326,1,49,21.9699,7.5,4.66
-89.157214,40.28236,969108700,0,11.2511,16,13,51,40,5.06,1,50,2362,1,59,26.8629,7.7,4.78
-89.157186,40.282365,969108699,0,10.0135,16,13,51,39,5.68,1,64,2326,1,63,28.247,8.7,5.41
-89.157158,40.282376,969108698,0,18.179,16,13,51,38,5.68,1,64,2311,1,59,26.2829,8.7,5.41
-89.157133,40.282387,969108697,0,20.3278,16,13,51,37,5.68,1,60,2296,1,52,23.0142,8.7,5.41
-89.157108,40.282404,969108696,0,17.999,16,13,51,36,5.74,1,54,2332,1,52,23.3751,8.9,5.53
-89.157086,40.282421,969108695,0,26.5092,16,13,51,35,5.74,1,56,2351,1,59,26.7378,8.9,5.53
-89.157072,40.28244,969108694,0,26.3445,16,13,51,34,5.68,1,62,2338,1,64,28.8434,8.8,5.47
-89.157061,40.282462,969108693,0,29.6806,16,13,51,33,5.45,1,69,2338,1,72,32.4488,8.4,5.22
-89.157056,40.282482,969108692,1,37.3894,16,13,51,32,5.11,1,74,2300,1,75,33.2514,7.9,4.91
-89.157056,40.282501,969108691,1,41.3868,16,13,51,31,4.15,1,71,2223,1,50,21.4255,6.4,3.98
-89.157056,40.282515,969108690,1,65.0897,16,13,51,30,3.13,1,51,2335,1,49,22.0549,4.9,3.04
-89.157058,40.282526,969108689,1,69.6713,16,13,51,29,2.95,1,50,2328,1,42,18.8475,4.6,2.86
-89.157058,40.28254,969108688,1,90.3527,16,13,51,28,2.39,1,44,2362,1,54,24.5864,3.7,2.3
-89.157058,40.282549,969108687,0,113.8874,16,13,51,27,2.39,1,58,2319,1,46,20.5627,3.7,2.3
-89.157058,40.282554,969108686,0,400,16,13,51,26,0.57,1,43,2315,1,40,17.8498,0.9,0.56
-89.157058,40.282551,969108685,0,111.6409,16,13,51,25,2.5,1,43,2352,1,45,20.4019,3.8,2.36
