LONGITUDE,LATITUDE,Easting,Northing,TIME,STATUS,DRY_YIELD,DAYOFMONTH,HOUR,MINUTE,SECOND,SPEED,TORQUE,ENG_SPD,CURVE,FUEL,FUEL_KG/HR,GRD_SPD,MPH
-89.153673,40.282450,683084.352739,4461337.948218,969100911,1,0.0000,16,11,41,51,1.25,38,2338,1,37,16.6751,2.00,1.24
-89.153673,40.282456,683084.336544,4461338.614278,969100912,1,0.0000,16,11,41,52,1.53,42,2345,1,39,17.6290,2.50,1.55
-89.153673,40.282461,683084.323048,4461339.169328,969100913,1,0.0000,16,11,41,53,1.76,42,2339,1,41,18.4857,2.90,1.80
-89.153673,40.282469,683084.301455,4461340.057408,969100914,1,0.0000,16,11,41,54,1.76,41,2329,1,39,17.5088,2.90,1.80
-89.153670,40.282475,683084.030210,4461340.717267,969100915,1,0.0000,16,11,41,55,1.93,46,2331,1,42,18.8718,3.10,1.93
-89.153662,40.282489,683083.312287,4461342.254869,969100916,1,0.0000,16,11,41,56,2.10,49,2331,1,47,21.1184,3.40,2.11
-89.153659,40.282497,683083.035643,4461343.136748,969100917,1,15.7032,16,11,41,57,2.16,48,2343,1,47,21.2271,3.50,2.17
-89.153659,40.282508,683083.005953,4461344.357858,969100918,1,45.9879,16,11,41,58,2.16,48,2333,1,46,20.6868,3.40,2.11
-89.153651,40.282517,683082.301526,4461345.340411,969100919,1,81.7899,16,11,41,59,2.10,50,2324,1,49,21.9510,3.30,2.05
-89.153648,40.282519,683082.041077,4461345.556229,969100920,1,158.7335,16,11,42,0,1.65,51,2342,1,48,21.6695,2.60,1.62
-89.153645,40.282528,683081.761734,4461346.549118,969100921,1,154.3243,16,11,42,1,1.65,55,2350,1,53,24.0085,2.70,1.68
-89.153642,40.282536,683081.485091,4461347.430996,969100922,1,153.4424,16,11,42,2,1.70,53,2351,1,51,23.1124,2.80,1.74
-89.153642,40.282542,683081.468896,4461348.097056,969100923,1,148.4926,16,11,42,3,1.76,53,2320,1,51,22.8076,2.90,1.80
-89.153640,40.282550,683081.277270,4461348.981002,969100924,1,111.4752,16,11,42,4,2.22,58,2320,1,56,25.0436,3.60,2.24
-89.153640,40.282558,683081.255677,4461349.869082,969100925,1,115.0818,16,11,42,5,2.27,50,2372,1,50,22.8616,3.70,2.30
-89.153637,40.282575,683080.954742,4461351.750050,969100926,1,123.6064,16,11,42,6,2.27,55,2328,1,50,22.4375,3.60,2.24
-89.153637,40.282581,683080.938547,4461352.416110,969100927,1,107.6228,16,11,42,7,2.27,58,2333,1,57,25.6337,3.60,2.24
-89.153637,40.282592,683080.908857,4461353.637220,969100928,1,137.2249,16,11,42,8,2.33,54,2341,1,52,23.4653,3.80,2.36
-89.153637,40.282600,683080.887264,4461354.525300,969100929,1,121.7379,16,11,42,9,2.33,57,2331,1,55,24.7131,3.70,2.30
-89.153634,40.282611,683080.602524,4461355.740209,969100930,1,136.5839,16,11,42,10,2.33,58,2308,1,54,24.0243,3.70,2.30
-89.153631,40.282622,683080.317783,4461356.955117,969100931,1,143.5121,16,11,42,11,2.33,63,2302,1,60,26.6243,3.70,2.30
-89.153631,40.282628,683080.301589,4461357.621177,969100932,1,130.6455,16,11,42,12,2.33,57,2350,1,56,25.3675,3.70,2.30
-89.153631,40.282639,683080.271899,4461358.842287,969100933,1,144.5019,16,11,42,13,2.33,61,2309,1,58,25.8151,3.70,2.30
-89.153631,40.282647,683080.250306,4461359.730367,969100934,1,152.4198,16,11,42,14,2.33,58,2348,1,57,25.7985,3.70,2.30
-89.153631,40.282658,683080.220616,4461360.951477,969100935,1,132.6250,16,11,42,15,2.33,57,2334,1,56,25.1948,3.70,2.30
-89.153631,40.282667,683080.196324,4461361.950567,969100936,1,136.5839,16,11,42,16,2.33,59,2319,1,55,24.5858,3.70,2.30
-89.153631,40.282675,683080.174731,4461362.838647,969100937,1,124.7071,16,11,42,17,2.33,61,2325,1,60,26.8903,3.70,2.30
-89.153631,40.282686,683080.145041,4461364.059757,969100938,1,133.6147,16,11,42,18,2.33,56,2347,1,54,24.4303,3.80,2.36
-89.153631,40.282694,683080.123448,4461364.947837,969100939,1,152.4198,16,11,42,19,2.33,56,2334,1,55,24.7449,3.70,2.30
-89.153631,40.282706,683080.091059,4461366.279957,969100940,1,140.1618,16,11,42,20,2.33,61,2300,1,58,25.7145,3.70,2.30
-89.153631,40.282714,683080.069466,4461367.168037,969100941,1,151.5824,16,11,42,21,2.33,62,2321,1,61,27.2914,3.70,2.30
-89.153631,40.282725,683080.039776,4461368.389147,969100942,1,154.6971,16,11,42,22,2.33,57,2340,1,54,24.3574,3.80,2.36
-89.153634,40.282733,683080.273232,4461369.283429,969100943,1,154.6971,16,11,42,23,2.33,59,2316,1,56,25.0005,3.70,2.30
-89.153637,40.282742,683080.503990,4461370.288720,969100944,1,164.0412,16,11,42,24,2.33,60,2333,1,59,26.5331,3.70,2.30
-89.153637,40.282753,683080.474300,4461371.509830,969100945,1,136.0089,16,11,42,25,2.33,62,2337,1,61,27.4796,3.70,2.30
-89.153637,40.282761,683080.452707,4461372.397910,969100946,1,137.0471,16,11,42,26,2.33,59,2348,1,57,25.7985,3.80,2.36
-89.153637,40.282772,683080.423017,4461373.619020,969100947,1,163.0030,16,11,42,27,2.33,57,2341,1,55,24.8191,3.70,2.30
-89.153637,40.282781,683080.398725,4461374.618110,969100948,1,153.6589,16,11,42,28,2.33,58,2308,1,54,24.0243,3.70,2.30
-89.153637,40.282792,683080.369034,4461375.839220,969100949,1,172.3471,16,11,42,29,2.33,60,2326,1,58,26.0051,3.70,2.30
-89.153634,40.282806,683080.076197,4461377.387159,969100950,1,167.1559,16,11,42,30,2.33,60,2345,1,59,26.6696,3.70,2.30
-89.153634,40.282814,683080.054604,4461378.275239,969100951,1,162.3881,16,11,42,31,2.33,58,2340,1,56,25.2595,3.70,2.30
-89.153634,40.282822,683080.033011,4461379.163319,969100952,1,172.8648,16,11,42,32,2.33,62,2305,1,59,26.2147,3.70,2.30
-89.153634,40.282833,683080.003321,4461380.384429,969100953,1,154.0068,16,11,42,33,2.33,62,2319,1,59,26.3739,3.70,2.30
-89.153634,40.282842,683079.979029,4461381.383519,969100954,1,150.8638,16,11,42,34,2.33,59,2340,1,58,26.1617,3.70,2.30
-89.153634,40.282853,683079.949339,4461382.604629,969100955,1,161.3405,16,11,42,35,2.33,58,2345,1,56,25.3135,3.80,2.36
-89.153634,40.282861,683079.927746,4461383.492709,969100956,1,158.1975,16,11,42,36,2.33,57,2323,1,54,24.1805,3.80,2.36
-89.153634,40.282872,683079.898055,4461384.713819,969100957,1,157.1498,16,11,42,37,2.33,58,2325,1,57,25.5458,3.70,2.30
-89.153634,40.282883,683079.868365,4461385.934929,969100958,1,147.7208,16,11,42,38,2.33,59,2321,1,56,25.0544,3.70,2.30
-89.153634,40.282892,683079.844073,4461386.934019,969100959,1,151.9115,16,11,42,39,2.33,58,2337,1,55,24.7767,3.80,2.36
-89.153634,40.282903,683079.814383,4461388.155129,969100960,1,169.8911,16,11,42,40,2.33,57,2323,1,54,24.1805,3.70,2.30
-89.153634,40.282911,683079.792790,4461389.043209,969100961,1,164.6798,16,11,42,41,2.33,57,2340,1,55,24.8085,3.80,2.36
-89.153637,40.282922,683080.018148,4461390.270520,969100962,1,149.0456,16,11,42,42,2.33,60,2325,1,57,25.5458,3.80,2.36
-89.153637,40.282931,683079.993856,4461391.269610,969100963,1,149.0456,16,11,42,43,2.33,59,2320,1,57,25.4908,3.70,2.30
-89.153637,40.282939,683079.972263,4461392.157690,969100964,1,143.8342,16,11,42,44,2.33,57,2355,1,56,25.4215,3.80,2.36
-89.153640,40.282950,683080.197622,4461393.385002,969100965,1,167.8066,16,11,42,45,2.33,57,2326,1,53,23.7633,3.80,2.36
-89.153640,40.282958,683080.176029,4461394.273082,969100966,1,146.9610,16,11,42,46,2.33,61,2334,1,58,26.0946,3.70,2.30
-89.153640,40.282967,683080.151736,4461395.272172,969100967,1,159.4684,16,11,42,47,2.33,57,2331,1,56,25.1624,3.80,2.36
-89.153642,40.282978,683080.292078,4461396.497416,969100968,1,160.5106,16,11,42,48,2.33,61,2326,1,60,26.9019,3.70,2.30
-89.153642,40.282986,683080.270485,4461397.385496,969100969,1,160.5106,16,11,42,49,2.33,55,2359,1,53,24.1005,3.80,2.36
